transaction_id,customer_id,category,item,price_per_unit,quantity,total_spent,payment_method,location,transaction_date,discount_applied
TXN_8482271,CUST_23,Patisserie,Item_11_Pat,20.0,,,Cash,Online,2022-01-05,
TXN_4539341,CUST_12,Food,Item_3_Food,8.0,,,Cash,Online,2022-01-06,False
TXN_7297595,CUST_19,Furniture,Item_24_Fur,39.5,,,Cash,In-Store,2022-01-07,
TXN_6730526,CUST_20,Patisserie,Item_25_Pat,41.0,,,Cash,In-Store,2022-01-07,
TXN_4174028,CUST_17,Butchers,Item_2_But,6.5,,,Credit Card,Online,2022-01-07,
TXN_1799662,CUST_23,Food,Item_12_Food,21.5,,,Digital Wallet,Online,2022-01-09,False
TXN_3330661,CUST_19,Butchers,Item_12_But,21.5,,,Digital Wallet,In-Store,2022-01-09,True
TXN_4245049,CUST_04,Butchers,Item_7_But,14.0,,,Credit Card,Online,2022-01-12,
TXN_4967198,CUST_20,Furniture,Item_25_Fur,41.0,,,Digital Wallet,In-Store,2022-01-14,True
TXN_9276432,CUST_13,Butchers,Item_12_But,21.5,,,Credit Card,In-Store,2022-01-14,
TXN_4375011,CUST_19,Butchers,Item_4_But,9.5,,,Credit Card,In-Store,2022-01-16,
TXN_6130668,CUST_22,Electric Household Essentials,Item_16_Ehe,27.5,,,Cash,In-Store,2022-01-19,True
TXN_7581115,CUST_18,Furniture,Item_21_Fur,35.0,,,Credit Card,In-Store,2022-01-22,True
TXN_8552028,CUST_13,Patisserie,Item_23_Pat,38.0,,,Cash,Online,2022-01-23,True
TXN_2763819,CUST_03,Beverages,Item_24_Bev,39.5,,,Digital Wallet,In-Store,2022-01-23,
TXN_6981473,CUST_17,Beverages,Item_12_Bev,21.5,,,Cash,In-Store,2022-01-23,True
TXN_3838434,CUST_13,Food,Item_9_Food,17.0,,,Cash,Online,2022-01-26,
TXN_5728541,CUST_12,Furniture,Item_8_Fur,15.5,,,Cash,Online,2022-01-27,
TXN_3281825,CUST_17,Beverages,Item_23_Bev,38.0,,,Credit Card,Online,2022-01-29,
TXN_9017801,CUST_06,Milk Products,Item_22_Milk,36.5,,,Credit Card,Online,2022-01-29,
TXN_6227305,CUST_22,Beverages,Item_15_Bev,26.0,,,Digital Wallet,Online,2022-01-31,True
TXN_6206996,CUST_23,Computers And Electric Accessories,Item_12_Cea,21.5,,,Credit Card,Online,2022-01-31,False
TXN_2414883,CUST_04,Food,Item_25_Food,41.0,,,Cash,In-Store,2022-02-01,
TXN_4194229,CUST_20,Beverages,Item_21_Bev,35.0,,,Credit Card,In-Store,2022-02-02,
TXN_5416741,CUST_13,Computers And Electric Accessories,Item_3_Cea,8.0,,,Credit Card,Online,2022-02-02,False
TXN_4591527,CUST_01,Computers And Electric Accessories,Item_23_Cea,38.0,,,Digital Wallet,Online,2022-02-03,False
TXN_3811015,CUST_24,Patisserie,Item_20_Pat,33.5,,,Cash,Online,2022-02-04,False
TXN_8586300,CUST_11,Computers And Electric Accessories,Item_16_Cea,27.5,,,Credit Card,Online,2022-02-08,False
TXN_5963334,CUST_07,Computers And Electric Accessories,Item_19_Cea,32.0,,,Cash,Online,2022-02-11,False
TXN_2946597,CUST_15,Computers And Electric Accessories,Item_20_Cea,33.5,,,Credit Card,In-Store,2022-02-11,True
TXN_1153995,CUST_03,Electric Household Essentials,Item_13_Ehe,23.0,,,Credit Card,In-Store,2022-02-12,False
TXN_6233782,CUST_14,Butchers,Item_9_But,17.0,,,Digital Wallet,Online,2022-02-14,True
TXN_7819515,CUST_13,Butchers,Item_6_But,12.5,,,Cash,Online,2022-02-15,False
TXN_3379956,CUST_15,Computers And Electric Accessories,Item_20_Cea,33.5,,,Cash,In-Store,2022-02-15,True
TXN_5793195,CUST_23,Furniture,Item_15_Fur,26.0,,,Cash,In-Store,2022-02-15,
TXN_9646389,CUST_22,Beverages,Item_16_Bev,27.5,,,Credit Card,In-Store,2022-02-17,True
TXN_6989869,CUST_16,Computers And Electric Accessories,Item_10_Cea,18.5,,,Cash,In-Store,2022-02-21,
TXN_2407302,CUST_14,Patisserie,Item_23_Pat,38.0,,,Cash,In-Store,2022-02-25,False
TXN_4880413,CUST_17,Furniture,Item_11_Fur,20.0,,,Cash,In-Store,2022-02-25,
TXN_7705441,CUST_25,Milk Products,Item_15_Milk,26.0,,,Digital Wallet,Online,2022-02-27,False
TXN_3416433,CUST_10,Electric Household Essentials,Item_9_Ehe,17.0,,,Digital Wallet,In-Store,2022-03-01,True
TXN_6682588,CUST_02,Furniture,Item_24_Fur,39.5,,,Cash,In-Store,2022-03-06,
TXN_8093982,CUST_12,Beverages,Item_16_Bev,27.5,,,Credit Card,Online,2022-03-11,True
TXN_9692463,CUST_16,Milk Products,Item_16_Milk,27.5,,,Digital Wallet,In-Store,2022-03-14,True
TXN_1551058,CUST_14,Food,Item_20_Food,33.5,,,Cash,Online,2022-03-16,False
TXN_2147697,CUST_04,Milk Products,Item_24_Milk,39.5,,,Credit Card,In-Store,2022-03-19,False
TXN_9247444,CUST_21,Patisserie,Item_5_Pat,11.0,,,Digital Wallet,In-Store,2022-03-20,False
TXN_5545903,CUST_25,Milk Products,Item_12_Milk,21.5,,,Credit Card,In-Store,2022-03-25,True
TXN_8249416,CUST_04,Beverages,Item_11_Bev,20.0,,,Cash,Online,2022-03-27,
TXN_4567294,CUST_21,Patisserie,Item_12_Pat,21.5,,,Digital Wallet,Online,2022-03-28,False
TXN_6254334,CUST_23,Butchers,Item_19_But,32.0,,,Digital Wallet,Online,2022-03-29,
TXN_5573824,CUST_16,Patisserie,Item_25_Pat,41.0,,,Digital Wallet,In-Store,2022-03-30,True
TXN_8882076,CUST_25,Computers And Electric Accessories,Item_16_Cea,27.5,,,Cash,Online,2022-03-31,True
TXN_9753602,CUST_18,Milk Products,Item_6_Milk,12.5,,,Cash,In-Store,2022-03-31,
TXN_6739031,CUST_14,Butchers,Item_2_But,6.5,,,Digital Wallet,In-Store,2022-04-04,
TXN_7784746,CUST_16,Electric Household Essentials,Item_25_Ehe,41.0,,,Credit Card,Online,2022-04-05,True
TXN_6102791,CUST_02,Furniture,Item_20_Fur,33.5,,,Credit Card,In-Store,2022-04-05,False
TXN_9379358,CUST_25,Furniture,Item_11_Fur,20.0,,,Cash,Online,2022-04-07,True
TXN_9114949,CUST_09,Beverages,Item_18_Bev,30.5,,,Cash,Online,2022-04-11,True
TXN_8110567,CUST_02,Beverages,Item_20_Bev,33.5,,,Digital Wallet,In-Store,2022-04-12,True
TXN_2968416,CUST_17,Food,Item_24_Food,39.5,,,Digital Wallet,Online,2022-04-13,
TXN_8631857,CUST_11,Food,Item_22_Food,36.5,,,Digital Wallet,In-Store,2022-04-13,False
TXN_3638067,CUST_11,Electric Household Essentials,Item_21_Ehe,35.0,,,Digital Wallet,In-Store,2022-04-21,
TXN_8388501,CUST_19,Furniture,Item_11_Fur,20.0,,,Credit Card,Online,2022-04-24,False
TXN_3324948,CUST_14,Furniture,Item_23_Fur,38.0,,,Cash,Online,2022-04-25,False
TXN_4949721,CUST_08,Computers And Electric Accessories,Item_13_Cea,23.0,,,Credit Card,In-Store,2022-04-28,True
TXN_2491501,CUST_06,Beverages,Item_2_Bev,6.5,,,Cash,In-Store,2022-05-04,True
TXN_4894246,CUST_24,Electric Household Essentials,Item_17_Ehe,29.0,,,Digital Wallet,Online,2022-05-06,False
TXN_3224536,CUST_18,Milk Products,Item_11_Milk,20.0,,,Digital Wallet,Online,2022-05-10,False
TXN_1809665,CUST_14,Beverages,Item_14_Bev,24.5,,,Credit Card,In-Store,2022-05-11,
TXN_7472400,CUST_16,Patisserie,Item_6_Pat,12.5,,,Credit Card,In-Store,2022-05-14,True
TXN_5599747,CUST_19,Patisserie,Item_5_Pat,11.0,,,Credit Card,Online,2022-05-15,True
TXN_9130896,CUST_03,Food,Item_11_Food,20.0,,,Digital Wallet,In-Store,2022-05-17,
TXN_4782711,CUST_20,Electric Household Essentials,Item_5_Ehe,11.0,,,Digital Wallet,In-Store,2022-05-17,False
TXN_4187431,CUST_23,Electric Household Essentials,Item_10_Ehe,18.5,,,Digital Wallet,In-Store,2022-05-18,False
TXN_8464397,CUST_09,Food,Item_14_Food,24.5,,,Credit Card,In-Store,2022-05-18,True
TXN_9195906,CUST_02,Electric Household Essentials,Item_19_Ehe,32.0,,,Digital Wallet,In-Store,2022-05-20,False
TXN_9103065,CUST_03,Food,Item_13_Food,23.0,,,Cash,In-Store,2022-05-21,True
TXN_4056456,CUST_08,Electric Household Essentials,Item_4_Ehe,9.5,,,Digital Wallet,Online,2022-05-23,False
TXN_5280917,CUST_20,Furniture,Item_1_Fur,5.0,,,Credit Card,In-Store,2022-05-23,
TXN_9279801,CUST_03,Furniture,Item_24_Fur,39.5,,,Credit Card,In-Store,2022-05-27,
TXN_2360216,CUST_07,Food,Item_25_Food,41.0,,,Digital Wallet,In-Store,2022-06-01,
TXN_3161464,CUST_02,Butchers,Item_12_But,21.5,,,Credit Card,In-Store,2022-06-02,True
TXN_3995208,CUST_05,Food,Item_9_Food,17.0,,,Digital Wallet,In-Store,2022-06-02,
TXN_6434080,CUST_01,Butchers,Item_25_But,41.0,,,Cash,Online,2022-06-02,False
TXN_5612933,CUST_23,Butchers,Item_6_But,12.5,,,Cash,In-Store,2022-06-02,
TXN_4654153,CUST_16,Electric Household Essentials,Item_1_Ehe,5.0,,,Cash,Online,2022-06-03,
TXN_1419872,CUST_11,Furniture,Item_4_Fur,9.5,,,Digital Wallet,Online,2022-06-04,
TXN_8697688,CUST_12,Computers And Electric Accessories,Item_9_Cea,17.0,,,Digital Wallet,Online,2022-06-08,True
TXN_2514543,CUST_20,Patisserie,Item_4_Pat,9.5,,,Digital Wallet,In-Store,2022-06-08,
TXN_2831627,CUST_06,Computers And Electric Accessories,Item_2_Cea,6.5,,,Digital Wallet,In-Store,2022-06-09,
TXN_2771813,CUST_17,Electric Household Essentials,Item_25_Ehe,41.0,,,Digital Wallet,Online,2022-06-10,
TXN_1977173,CUST_23,Butchers,Item_4_But,9.5,,,Credit Card,Online,2022-06-14,True
TXN_2305144,CUST_24,Food,Item_22_Food,36.5,,,Digital Wallet,Online,2022-06-15,True
TXN_1199916,CUST_21,Furniture,Item_2_Fur,6.5,,,Digital Wallet,In-Store,2022-06-25,
TXN_2801305,CUST_04,Butchers,Item_16_But,27.5,,,Cash,Online,2022-06-26,
TXN_9551364,CUST_11,Butchers,Item_3_But,8.0,,,Credit Card,In-Store,2022-06-27,
TXN_1945001,CUST_19,Beverages,Item_3_Bev,8.0,,,Credit Card,In-Store,2022-06-27,False
TXN_6717536,CUST_20,Beverages,Item_14_Bev,24.5,,,Credit Card,Online,2022-07-01,
